AL_Code,VENDOR,AL_Name
165,327,ADRIA AIRWAYS
390,115,AEGEAN AIRLINES
809,499,AER ARANN
53,227,AER LINGUS
350,224,AERO AIRLINES
78,328,AERO CALIFORNIA
561,7,AERO VIP
555,528,AEROFLOT
733,196,AEROFLOT-DON
316,51,AEROFLOT-NORD
44,134,AEROLINEAS ARGENTINAS
942,599,AEROMAR
139,131,AEROMEXICO
730,290,AEROMIST-KHARKOV
152,588,AEROPOSTAL
845,439,AEROREPUBLICA
870,598,AEROSVIT AIRLINES
60,637,AFRICAONE
546,95,AFRIQIYAH AIRWAYS
439,667,AIGLE AZUR
124,128,AIR ALGERIE
527,118,AIR ALPS AVIATION
875,29,AIR ANTILLES EXPRESS
764,38,AIR ASTANA
760,573,AIR AUSTRAL
657,161,AIR BALTIC
745,123,AIR BERLIN
995,318,AIR BOSNA
636,158,AIR BOTSWANA
595,670,AIR BOURBON
226,10,AIR BURKINA
381,1341,AIR CAIRO
190,557,AIR CALEDONIE
14,124,AIR CANADA
427,556,AIR CARAIBES
999,171,AIR CHINA
101,231,AIR DOLOMITI
996,576,AIR EUROPA
855,446,AIR EUROPE
624,444,AIR FIJI
57,127,AIR FRANCE
631,267,AIR GREENLAND
383,15,AIR GUINEE EXPRESS
882,420,AIR ICELAND
98,129,AIR INDIA
943,597,AIR IVOIRE
201,325,AIR JAMAICA
120,329,AIR KORYO
927,609,AIR LABRADOR
113,274,AIR LINES OF KUBAN
675,419,AIR MACAU
258,382,AIR MADAGASCAR
167,478,AIR MALAWI
643,347,AIR MALTA
778,188,AIR MARSHALL ISLANDS
174,394,AIR MAURITANIE
239,388,AIR MAURITIUS
572,112,AIR MOLDOVA
186,530,AIR NAMIBIA
123,429,AIR NAURU
86,421,AIR NEW ZEALAND
768,229,AIR NIPPON
656,458,AIR NIUGINI
867,132,AIR ONE
260,248,AIR PACIFIC
211,13,AIR PHILIPPINES
352,119,AIR PLUS COMET
407,583,AIR SENEGAL INTL
61,285,AIR SEYCHELLES
903,36,AIR SINAI
638,451,AIR ST PIERRE
135,596,AIR TAHITI
244,549,AIR TAHITI NUI
197,540,AIR TANZANIA
649,553,AIR TRANSAT
891,67,AIR UKRAINE
965,206,AIR VALLEE
218,407,AIR VANUATU
168,569,AIR ZIMBABWE
807,130,AIRASIA SDN BHD
484,223,AIRBLUE
63,515,AIRCALIN
897,72,AIRCOMPANY DONBASSAERO
342,648,AIRCOMPANY POLET
35,35,AIRES
163,117,AIRLINAIR
626,177,AIRLINES PNG
159,406,AIRLINK
935,547,AIRNORTH REGIONAL
332,249,AIRTRAN AIRWAYS
27,135,ALASKA AIRLINES
639,373,ALBANIAN AIRLINES MAK
584,37,ALBATROS AIRWAYS
55,141,ALITALIA
205,409,ALL NIPPON AIRWAYS
323,481,ALLIANCE AIRLINES
327,133,ALOHA AIRLINES
789,218,ALPI EAGLES
138,473,ALTYN AIR AIRLINES
